id,name,img_url,brand_id,cat_id,sub_id
1,Harina CAÑUELAS  0000 1 Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P399842-1.jpg,330,1,1
2,Arroz Blanco SAMAN 1 Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P031894-1.jpg,1834,1,1
3,Arroz Integral SAMAN 1 Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P001654-1.jpg,1834,1,1
4,Arroz Orgánico CAMPOCLARO 1 Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P361532-1.jpg,323,1,1
5,Couscous TIPIAK 250 g,https://images-ti-vm1.tiendainglesa.com.uy/small/P461258-1.jpg,2056,1,1
6,Acondicionador PANTENE Brillo Extremo 400 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P182932-1.jpg,1585,4,16
7,Acondicionador PANTENE Liso Extremo 400 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P133491-1.jpg,1585,4,16
8,Crema NIVEA Lata 150 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P039320-1.jpg,1484,4,16
9,Harina de Arroz BLUE PATNA 1 Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P097146-1.jpg,227,1,1
10,Aceite de Oliva Extra Virgen Orgánico LA ESPAÑOLA 500 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P449421-1.jpg,1134,1,1
11,"Aceite de Girasol NATURA 1,5 L",https://images-ti-vm1.tiendainglesa.com.uy/small/P010316-1.jpg,1443,1,1
12,Agua Mineral Natural sin Gas SALUS 6.25  L,https://images-ti-vm1.tiendainglesa.com.uy/small/P113618-2.jpg,1832,2,4
13,Yerba BALDO 1Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P127359-1.jpg,149,1,3
14,Azúcar BELLA UNIÓN Blanco 1Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P000163-2.jpg,183,1,3
15,Arroz BLUE PATNA 1 Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P000208-1.jpg,227,1,1
16,Yerba BALDO 500g,https://images-ti-vm1.tiendainglesa.com.uy/small/P127360-1.jpg,149,1,3
17,Yogur YOGURISIMO Sabor Natural sin Azúcar Agregado 460 gr,https://images-ti-vm1.tiendainglesa.com.uy/small/P474141-1.jpg,2245,3,14
18,Vino Tinto TRAPICHE Malbec 750 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P094602-1.jpg,2073,2,9
19,Atún EMIGRANTE en Aceite Vegetal 345 gr,https://images-ti-vm1.tiendainglesa.com.uy/small/P386418-1.jpg,722,1,1
20,Refresco COCA-COLA Sabor Original 600 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P126192-1.jpg,445,2,8
21,Refresco COCA-COLA sin Azúcar 600 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P197305-1.jpg,445,2,8
22,Refresco COCA-COLA Sabor Original Retornable 2 L,https://images-ti-vm1.tiendainglesa.com.uy/small/P306915-1.jpg,445,2,8
23,Café Soluble BRACAFE 170 gr,https://images-ti-vm1.tiendainglesa.com.uy/small/P003179-1.jpg,255,1,3
24,Café Glaseado El Chana NESTLÉ 500 gr,https://images-ti-vm1.tiendainglesa.com.uy/small/P004282-1.jpg,1466,1,3
25,Dulce Crema de Leche CONAPROLE 250gr,https://images-ti-vm1.tiendainglesa.com.uy/small/P455436-1.jpg,466,1,3
26,Dulce Crema de Leche CONAPROLE 500 gr,https://images-ti-vm1.tiendainglesa.com.uy/small/P014401-2.jpg,466,1,3
27,Helado Crema Sabor Vainilla CONAPROLE 1 L,https://images-ti-vm1.tiendainglesa.com.uy/small/P068250-1.jpg,466,1,2
28,Yogur CONAPROLE de Durazno Tetratop 500 gr,https://images-ti-vm1.tiendainglesa.com.uy/small/P400530-1.jpg,466,3,14
29,Huevo ECOLOGITO X15u,https://images-ti-vm1.tiendainglesa.com.uy/small/P114821-1.jpg,675,1,3
30,Empanadas x 9 de Jamón Cocido y Queso HAMBY 630 gr,https://images-ti-vm1.tiendainglesa.com.uy/small/P014190-1.jpg,953,1,1
31,Limpiador Agua JANE 900 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P096937-1.jpg,1046,4,16
32,After Shave GILLETE Sensitive Skin Gel 75ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P015298-1.jpg,893,4,17
33,Té PRESIDENT 10 Sobres,https://images-ti-vm1.tiendainglesa.com.uy/small/P055118-1.jpg,1689,1,3
34,Yerba CANARIAS 500g,https://images-ti-vm1.tiendainglesa.com.uy/small/P000817-1.jpg,326,1,3
35,Yerba CANARIAS 1Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P000691-1.jpg,326,1,3
36,Jugo de Naranja con Pulpa DAIRYCO 5 L,https://images-ti-vm1.tiendainglesa.com.uy/small/P493346-1.jpg,533,2,7
37,Shampoo HEAD  & SHOULDERS Coconut 375 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P484165-1.jpg,964,4,16
