ID,Title,Title_URL,Image,Brand,Price,Label
,Aceitunas Verde Sin Carozo Ta-Ta 200 G,https://www.tata.com.uy/aceitunas-verde-sin-carozo-ta-ta-200-g/p,https://tatauy.vteximg.com.br/arquivos/ids/244765-600-600/Aceitunas-Verde-Sin-Carozo-Ta-Ta-200-Gr-1-24791.jpg?v=637751685684600000,Ta-Ta,"$46,00",
,Aceitunas Verde Sin Carozo Ta-Ta 350 G,https://www.tata.com.uy/aceitunas-verde-sin-carozo-ta-ta-350-g/p,https://tatauy.vteximg.com.br/arquivos/ids/244766-600-600/Aceitunas-Verde-Sin-Carozo-Ta-Ta-350-Gr-1-24792.jpg?v=637751685686930000,Ta-Ta,"$85,00",
,Aceitunas Rio De La Plata Sin Carozo Sachet 180 G,https://www.tata.com.uy/aceitunas-rio-de-la-plata-sin-carozo-sachet-180-g/p,https://tatauy.vteximg.com.br/arquivos/ids/211374-600-600/Aceituna-Rio-De-La-Plata-Sin-Carozo-Sachet-180-Gr-1-22940.jpg?v=637601129563530000,RIO DE LA PLATA,"$60,00",
,Aceitunas Verdes Del Gaucho Descarozadas 800 G,https://www.tata.com.uy/aceitunas-verdes-del-gaucho-descarozadas-800-g/p,https://tatauy.vteximg.com.br/arquivos/ids/188869-600-600/Aceitunas-Verdes-Del-Gaucho-Descarozadas-800Gr-1-6752.jpg?v=637354889241200000,DEL GAUCHO,"$289,00",
,Aceitunas Verdes Sin Carozo La Abundancia Frasco 160 G,https://www.tata.com.uy/aceitunas-verdes-sin-carozo-la-abundancia-frasco-160-g/p,https://tatauy.vteximg.com.br/arquivos/ids/200965-600-600/Aceitunas-Verdes-Sin-Carozo-La-Abundancia-Frasco-160-Gr-1-18623.jpg?v=637503497080670000,LA ABUNDANCIA,"$115,00",
,Aceitunas Verde Con Carozo Ta-Ta 200 G,https://www.tata.com.uy/aceitunas-verde-con-carozo-ta-ta-200-g/p,https://tatauy.vteximg.com.br/arquivos/ids/244763-600-600/Aceitunas-Verde-Con-Carozo-Ta-Ta-200-Gr-1-24789.jpg?v=637751685678670000,Ta-Ta,"$43,00",
,Pepinillos Gherkins Paulsen 1.55 Kg,https://www.tata.com.uy/pepinillos-gherkins-paulsen-1-55-kg/p,https://tatauy.vteximg.com.br/arquivos/ids/200732-600-600/Pepinillos-Gherkins-Paulsen-1550-G-1-19190.jpg?v=637499177492230000,Gherkins Paulsen,"$332,00",
,Aceitunas Verdes Con Carozo Revelacion 180 G,https://www.tata.com.uy/aceitunas-verdes-con-carozo-revelacion-180-g/p,https://tatauy.vteximg.com.br/arquivos/ids/200146-600-600/Aceitunas-Verdes-Con-Carozo-Revelacion-180-Gr-1-18673.jpg?v=637487081018300000,REVELACION,"$29,00",
,Aceitunas Rellena Con Salmon Emigrante 240 G,https://www.tata.com.uy/aceitunas-rellena-con-salmon-emigrante-240-g/p,,EMIGRANTE,"$129,00",
,Aceitunas Rellena Pimiento Emigrante 280 G,https://www.tata.com.uy/aceitunas-rellena-pimiento-emigrante-280-g/p,,EMIGRANTE,"$129,00",
